entity_id,function_name,confidence,rationale,source_id,review_status
ENT_ACHELOOS,freshwater,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHELOOS,freshwater,B,Promoted from v0.1 claim CLM_00767 (domain).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHELOOS,freshwater,B,Promoted from v0.1 claim CLM_00770 (tag).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHELOOS,river,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHELOOS,river,B,Promoted from v0.1 claim CLM_00766 (domain).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHELOUS_MINOR,freshwater,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHELOUS_MINOR,freshwater,B,Promoted from v0.1 claim CLM_00863 (domain).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHELOUS_MINOR,freshwater,B,Promoted from v0.1 claim CLM_00866 (tag).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHELOUS_MINOR,river,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHELOUS_MINOR,river,B,Promoted from v0.1 claim CLM_00862 (domain).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHERON,river,B,Promoted from v0.1 claim CLM_00339 (tag).,SRC_THEOI_UNDERWORLD,candidate_extracted
ENT_ACHERON_RIVER,freshwater,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHERON_RIVER,freshwater,B,Promoted from v0.1 claim CLM_00869 (domain).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHERON_RIVER,freshwater,B,Promoted from v0.1 claim CLM_00872 (tag).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHERON_RIVER,river,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHERON_RIVER,river,B,Promoted from v0.1 claim CLM_00868 (domain).,SRC_THEOI_POTAMOI,candidate_extracted
ENT_ACHLYS,death,B,Promoted from v0.1 claim CLM_00390 (tag).,SRC_THEOI_UNDERWORLD,candidate_extracted
ENT_ACTAEA,sea,B,Promoted from v0.1 claim CLM_00731 (tag).,SRC_THEOI_SEA,candidate_extracted
ENT_ADONIS,vegetation,A,Promoted from v0.1 claim CLM_01279 (domain).,SRC_THEOI_AGRICULTURE,candidate_extracted
ENT_ADONIS,vegetation,A,Promoted from v0.1 claim CLM_01282 (tag).,SRC_THEOI_AGRICULTURE,candidate_extracted
ENT_ADONIS,vegetation,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
ENT_AEACUS,judge of dead,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
ENT_AEACUS,judge of dead,B,Promoted from v0.1 claim CLM_00410 (domain).,SRC_THEOI_UNDERWORLD,candidate_extracted
ENT_AEACUS,underworld,B,Promoted from v0.1 claim CLM_00412 (tag).,SRC_THEOI_UNDERWORLD,candidate_extracted
ENT_AESAR,freshwater,B,Extracted from entities.primary_domains.,SRC_THEOI_GODS,candidate_extracted
